step,action,action_bin,action_vec_norm,free_energy,confidence,obs_norm,frame_mean,beta,info_gain
184,1,1,2.631705,39.449671,0.902513,1.000000,7.631531,0.926938,0.830660
185,1,0,2.097037,39.433898,0.902536,1.000000,7.631531,0.926542,0.784737
186,1,7,2.354578,39.293398,0.902408,1.000000,7.631531,0.926146,0.286760
187,0,5,2.437991,39.266623,0.902863,1.000000,7.631531,0.925750,0.477678
188,0,5,2.476371,39.506324,0.903133,1.000000,7.631531,0.925354,0.533374
189,2,5,2.424167,39.682033,0.902121,1.000000,7.631531,0.924958,0.598850
190,0,5,2.668043,39.860425,0.902671,1.000000,7.631531,0.924562,0.665946
191,1,6,2.283104,39.642131,0.902861,1.000000,7.631531,0.924166,0.647358
192,0,2,1.935598,39.811523,0.902437,1.000000,7.631531,0.923770,0.529085
193,3,1,2.744696,39.549796,0.902410,1.000000,7.631531,0.923374,0.775251
194,1,1,2.675044,39.447039,0.902464,1.000000,7.631531,0.922978,0.660180
195,1,7,2.569381,39.259596,0.902937,1.000000,7.631531,0.922582,0.466303
196,0,2,2.275490,39.276343,0.902905,1.000000,7.631531,0.922186,0.545836
197,0,4,2.197511,38.942695,0.902479,1.000000,7.631531,0.921790,0.662179
198,3,3,2.554182,39.033744,0.902461,1.000000,7.631531,0.921394,0.665184
199,0,4,1.927369,39.081250,0.903086,1.000000,7.631531,0.920998,0.686011
200,0,3,2.368284,39.117360,0.902825,1.000000,7.631531,0.920602,0.509684
201,0,4,2.770225,38.959649,0.902527,1.000000,7.631531,0.920206,0.760040
202,0,5,2.505249,38.890435,0.902890,1.000000,7.631531,0.919810,0.285414
203,0,5,2.664470,38.755042,0.902452,1.000000,7.631531,0.919414,0.291212
204,1,0,2.218319,38.897512,0.902241,1.000000,7.631531,0.919018,0.401187
205,3,1,2.002089,38.997604,0.902064,1.000000,7.631531,0.918622,0.782499
206,0,5,2.564181,39.156130,0.902284,1.000000,7.631531,0.918226,0.347407
207,0,2,2.664517,39.207065,0.903008,1.000000,7.631531,0.917830,0.613759
208,0,4,2.502403,39.183364,0.902671,1.000000,7.631531,0.917434,0.782490
209,0,4,2.422398,39.033280,0.902608,1.000000,7.631531,0.917038,0.761898
210,1,0,2.227124,38.801896,0.902459,1.000000,7.631531,0.916642,0.472875
211,0,4,2.657406,38.891073,0.902533,1.000000,7.631531,0.916246,0.707900
212,0,5,2.364067,38.749111,0.902488,1.000000,7.631531,0.915850,0.328085
213,0,4,2.605548,38.935195,0.902617,1.000000,7.631531,0.915454,0.712837
214,1,6,2.627957,39.075328,0.902923,1.000000,7.631531,0.915058,0.403168
215,1,1,2.091044,39.088530,0.902525,1.000000,7.631531,0.914662,0.849025
216,3,1,2.278463,38.795624,0.902493,1.000000,7.631531,0.914266,0.858504
217,1,1,2.730455,38.627584,0.902458,1.000000,7.631531,0.913870,0.848402
218,0,3,2.359655,38.490940,0.902446,1.000000,7.631531,0.913474,0.492416
219,1,1,2.426935,38.552088,0.902227,1.000000,7.631531,0.913078,0.809537
220,1,1,2.579716,38.497778,0.902765,1.000000,7.631531,0.912682,0.813605
221,3,1,2.597739,38.280220,0.902476,1.000000,7.631531,0.912286,0.777284
222,1,0,1.986819,38.121554,0.902476,1.000000,7.631531,0.911890,0.716127
223,1,6,1.919201,38.188211,0.902614,1.000000,7.631531,0.911494,0.726453
