step,action,action_bin,action_vec_norm,free_energy,confidence,obs_norm,frame_mean,beta,info_gain,last_sleep_round,last_sleep_delta_fe,last_sleep_replayed
127,0,4,2.695248,37.856436,0.902972,1.000000,7.631531,0.747550,0.527029,-1,0.000000,0
128,3,2,2.484930,38.097810,0.902419,1.000000,7.631531,0.745570,0.428998,-1,0.000000,0
129,0,5,2.270099,37.977329,0.902861,1.000000,7.631531,0.743590,0.404277,-1,0.000000,0
130,1,0,2.261851,38.035051,0.902571,1.000000,7.631531,0.741610,0.837791,-1,0.000000,0
131,0,4,2.247838,37.968725,0.902491,1.000000,7.631531,0.739630,0.561114,-1,0.000000,0
132,1,6,2.509053,37.674223,0.902505,1.000000,7.631531,0.737650,0.504645,-1,0.000000,0
133,1,1,2.277110,37.836268,0.902476,1.000000,7.631531,0.735670,0.586210,-1,0.000000,0
134,1,0,2.230180,37.983014,0.902500,1.000000,7.631531,0.733690,0.809546,-1,0.000000,0
135,0,4,2.478821,38.174848,0.902477,1.000000,7.631531,0.731710,0.477253,-1,0.000000,0
136,0,5,2.704502,38.123442,0.902815,1.000000,7.631531,0.729730,0.533620,-1,0.000000,0
137,3,4,2.087303,37.989353,0.902535,1.000000,7.631531,0.727750,0.582000,-1,0.000000,0
138,0,5,2.470458,38.223178,0.902954,1.000000,7.631531,0.725770,0.557032,-1,0.000000,0
139,0,3,1.925647,38.271518,0.902398,1.000000,7.631531,0.723790,0.614351,-1,0.000000,0
140,1,6,2.717528,38.211465,0.902906,1.000000,7.631531,0.721810,0.495031,-1,0.000000,0
141,0,3,2.815547,38.199387,0.902507,1.000000,7.631531,0.719830,0.628641,-1,0.000000,0
142,0,2,1.938037,38.267480,0.902163,1.000000,7.631531,0.717850,0.541012,-1,0.000000,0
143,2,6,2.299391,38.269576,0.902256,1.000000,7.631531,0.715870,0.412293,-1,0.000000,0
144,0,4,2.471334,38.207513,0.902098,1.000000,7.631531,0.713890,0.602843,-1,0.000000,0
145,0,5,2.531341,38.207414,0.902205,1.000000,7.631531,0.711910,0.488226,-1,0.000000,0
146,0,3,2.389243,38.188857,0.903024,1.000000,7.631531,0.709930,0.615028,-1,0.000000,0
147,0,5,2.340070,37.954410,0.902806,1.000000,7.631531,0.707950,0.455384,-1,0.000000,0
148,0,4,2.474244,37.971219,0.902799,1.000000,7.631531,0.705970,0.449738,-1,0.000000,0
