step,nav_action,nav_action_name,action_vec_norm,free_energy,prediction_error,confidence,obs_norm,pos_before,pos_after,wrapped,beta,info_gain,text_preview,buffer_size_after,in_consolidation,delta_fe_consolidation
201,0,forward,1.563849,0.000308,0.331317,0.917620,0.192127,3712,3840,0,0.736660,0.683463,tion error. Cognitiv,202,0,0.000000
202,3,fast_backward,1.739470,0.000275,0.328955,0.917464,0.194453,3840,3328,1,0.735670,0.480480,on vector using a ra,203,0,0.000000
203,2,fast_forward,1.728392,0.000304,0.330848,0.917708,0.192127,3328,3840,0,0.734680,0.598842,tion error. Cognitiv,204,0,0.000000
204,4,stay,1.665059,0.000300,0.330306,0.917693,0.192127,3840,3840,0,0.733690,0.473756,tion error. Cognitiv,205,0,0.000000
205,3,fast_backward,1.376561,0.000275,0.328528,0.917487,0.194453,3840,3328,1,0.732700,0.492928,on vector using a ra,206,0,0.000000
206,0,forward,1.827226,0.000656,0.378271,0.917634,0.262342,3328,3456,0,0.731710,0.544122,of the text loop foc,207,0,0.000000
207,4,stay,1.526254,0.000632,0.380846,0.917563,0.262342,3456,3456,0,0.730720,0.472946,of the text loop foc,208,0,0.000000
208,3,fast_backward,1.544290,0.000458,0.348985,0.917143,0.219011,3456,2944,1,0.729730,0.474837,iar passages or re-r,209,0,0.000000
209,3,fast_backward,1.553857,0.000432,0.355295,0.917316,0.231309,2944,2432,1,0.728740,0.596474,"mise free energy, wh",210,0,0.000000
210,1,backward,2.027454,0.000275,0.325152,0.916649,0.192752,2432,2304,1,0.727750,0.847062,atch. Active inferen,211,0,0.000000
211,0,forward,1.874589,0.000428,0.355286,0.917365,0.231309,2304,2432,0,0.726760,0.516452,"mise free energy, wh",212,0,0.000000
212,2,fast_forward,1.774939,0.000452,0.349661,0.917139,0.219011,2432,2944,0,0.725770,0.483427,iar passages or re-r,213,0,0.000000
213,2,fast_forward,1.782765,0.000602,0.383333,0.918039,0.262342,2944,3456,0,0.724780,0.526874,of the text loop foc,214,0,0.000000
214,4,stay,1.557535,0.000586,0.385625,0.917287,0.262342,3456,3456,0,0.723790,0.776747,of the text loop foc,215,0,0.000000
215,4,stay,1.631875,0.000571,0.387775,0.917784,0.262342,3456,3456,0,0.722800,0.394441,of the text loop foc,216,0,0.000000
216,1,backward,1.491197,0.000261,0.341183,0.917564,0.194453,3456,3328,1,0.721810,0.534805,on vector using a ra,217,0,0.000000
217,0,forward,1.680198,0.000564,0.389091,0.917814,0.262342,3328,3456,0,0.720820,0.467539,of the text loop foc,218,0,0.000000
218,0,forward,1.651891,0.000424,0.308469,0.917128,0.169433,3456,3584,0,0.719830,0.750620,text. If it remains,219,0,0.000000
219,3,fast_backward,1.394511,0.000423,0.347204,0.917055,0.218552,3584,3072,1,0.718840,0.564460,eading phase comes n,220,0,0.000000
220,2,fast_forward,1.505717,0.000393,0.304565,0.916914,0.169433,3072,3584,0,0.717850,0.558428,text. If it remains,221,0,0.000000
221,2,fast_forward,1.289107,0.000300,0.326167,0.916865,0.194548,3584,4096,0,0.716860,0.467169,s no pretrained embe,222,0,0.000000
222,0,forward,1.445758,0.000271,0.330949,0.916751,0.199042,4096,4224,0,0.715870,0.501288,om scratch. Active i,223,0,0.000000
223,0,forward,1.496103,0.000350,0.342368,0.917270,0.212722,4224,4352,0,0.714880,0.578222,o minimise free ener,224,0,0.000000
224,0,forward,1.730515,0.000584,0.382902,0.917526,0.260843,4352,4480,0,0.713890,0.578505,the free energy ref,225,0,0.000000
225,0,forward,1.629389,0.000407,0.359546,0.917193,0.231827,4480,4608,0,0.712900,0.452453,"ics of the text, fre",226,0,0.000000
226,0,forward,1.700117,0.000265,0.316595,0.916839,0.181195,4608,4736,0,0.711910,0.670016,was extended with a,227,0,0.000000
227,4,stay,1.504608,0.000260,0.314885,0.916974,0.181195,4736,4736,0,0.710920,0.827059,was extended with a,228,0,0.000000
228,3,fast_backward,1.304488,0.000266,0.330663,0.916530,0.199042,4736,4224,1,0.709930,0.777844,om scratch. Active i,229,0,0.000000
229,0,forward,1.619970,0.000350,0.342341,0.917413,0.212722,4224,4352,0,0.708940,0.499115,o minimise free ener,230,0,0.000000
230,3,fast_backward,1.782872,0.000294,0.337400,0.917913,0.192127,4352,3840,1,0.707950,0.587828,tion error. Cognitiv,231,0,0.000000
231,3,fast_backward,1.594318,0.000273,0.333856,0.917778,0.194453,3840,3328,1,0.706960,0.895980,on vector using a ra,232,0,0.000000
232,0,forward,1.417988,0.000610,0.382723,0.917424,0.262342,3328,3456,0,0.705970,0.750572,of the text loop foc,233,0,0.000000
233,4,stay,1.810031,0.000592,0.385089,0.917674,0.262342,3456,3456,0,0.704980,0.683960,of the text loop foc,234,0,0.000000
234,3,fast_backward,1.329606,0.000452,0.353610,0.917146,0.219011,3456,2944,1,0.703990,0.633457,iar passages or re-r,235,0,0.000000
235,4,stay,1.956457,0.000449,0.353024,0.917647,0.219011,2944,2944,0,0.703000,0.693598,iar passages or re-r,236,0,0.000000
236,0,forward,1.669594,0.000421,0.345182,0.917098,0.218552,2944,3072,0,0.702010,0.532902,eading phase comes n,237,0,0.000000
237,2,fast_forward,1.721184,0.000385,0.302923,0.917244,0.169433,3072,3584,0,0.701020,0.615189,text. If it remains,238,0,0.000000
238,2,fast_forward,1.681701,0.000298,0.324389,0.917072,0.194548,3584,4096,0,0.700030,0.808696,s no pretrained embe,239,0,0.000000
239,4,stay,1.602394,0.000295,0.323509,0.916908,0.194548,4096,4096,0,0.699040,0.617614,s no pretrained embe,240,0,0.000000
240,4,stay,1.531945,0.000292,0.322735,0.917447,0.194548,4096,4096,0,0.698050,0.555473,s no pretrained embe,241,0,0.000000
241,4,stay,1.694656,0.000290,0.322055,0.916891,0.194548,4096,4096,0,0.697060,0.829025,s no pretrained embe,242,0,0.000000
242,4,stay,1.896003,0.000288,0.321460,0.916817,0.194548,4096,4096,0,0.696070,0.729025,s no pretrained embe,243,0,0.000000
243,1,backward,2.020416,0.000290,0.330518,0.917616,0.197040,4096,3968,1,0.695080,0.648133,tests whether a fre,244,0,0.000000
244,1,backward,1.500814,0.000295,0.333500,0.917857,0.192127,3968,3840,1,0.694090,0.874809,tion error. Cognitiv,245,0,0.000000
245,3,fast_backward,1.577146,0.000279,0.330920,0.917546,0.194453,3840,3328,1,0.693100,0.584414,on vector using a ra,246,0,0.000000
246,2,fast_forward,1.428341,0.000293,0.332741,0.917675,0.192127,3328,3840,0,0.692110,0.647934,tion error. Cognitiv,247,0,0.000000
247,1,backward,1.720380,0.000349,0.307310,0.916706,0.185869,3840,3712,1,0.691120,0.630791,al diagnostic signal,248,0,0.000000
248,2,fast_forward,1.729298,0.000280,0.324850,0.916665,0.199042,3712,4224,0,0.690130,0.527660,om scratch. Active i,249,0,0.000000
249,4,stay,1.543315,0.000276,0.324771,0.916750,0.199042,4224,4224,0,0.689140,0.489356,om scratch. Active i,250,0,0.000000
250,1,backward,1.529186,0.000290,0.318373,0.916892,0.194548,4224,4096,1,0.688150,0.526373,s no pretrained embe,251,0,0.000000
251,1,backward,1.308653,0.000294,0.327609,0.917474,0.197040,4096,3968,1,0.687160,0.489145,tests whether a fre,252,0,0.000000
252,2,fast_forward,1.843518,0.000625,0.378137,0.917122,0.260843,3968,4480,0,0.686170,0.586818,the free energy ref,253,0,0.000000
253,2,fast_forward,1.870608,0.000411,0.342272,0.917250,0.217535,4480,4992,0,0.685180,0.521807,tive reading phase c,254,0,0.000000
254,2,fast_forward,1.635579,0.000312,0.303185,0.917175,0.177647,4992,5504,0,0.684190,0.607780,of the text. If it r,255,0,0.000000
255,3,fast_backward,1.799850,0.000408,0.341281,0.917366,0.217535,5504,4992,1,0.683200,0.605672,tive reading phase c,256,0,0.000000
256,2,fast_forward,1.716157,0.000302,0.302449,0.917225,0.177647,4992,5504,0,0.682210,0.528402,of the text. If it r,257,0,0.000000
257,3,fast_backward,1.315452,0.000407,0.340522,0.917139,0.217535,5504,4992,1,0.681220,0.577111,tive reading phase c,258,0,0.000000
258,4,stay,1.871619,0.000403,0.341088,0.917263,0.217535,4992,4992,0,0.680230,0.520370,tive reading phase c,259,0,0.000000
259,3,fast_backward,1.530282,0.000622,0.378588,0.917283,0.260843,4992,4480,1,0.679240,0.267291,the free energy ref,260,0,0.000000
260,3,fast_backward,1.537286,0.000288,0.332268,0.917619,0.197040,4480,3968,1,0.678250,0.272239,tests whether a fre,261,0,0.000000
261,1,backward,1.862862,0.000300,0.335514,0.917593,0.192127,3968,3840,1,0.677260,0.507540,tion error. Cognitiv,262,0,0.000000
262,4,stay,1.694729,0.000296,0.334613,0.917604,0.192127,3840,3840,0,0.676270,0.383648,tion error. Cognitiv,263,0,0.000000
263,0,forward,1.025775,0.000289,0.330657,0.917407,0.197040,3840,3968,0,0.675280,0.696727,tests whether a fre,264,0,0.000000
264,2,fast_forward,1.235503,0.000608,0.379822,0.917285,0.260843,3968,4480,0,0.674290,0.461397,the free energy ref,265,0,0.000000
265,3,fast_backward,1.864298,0.000284,0.332969,0.917448,0.197040,4480,3968,1,0.673300,0.594337,tests whether a fre,266,0,0.000000
266,2,fast_forward,1.756518,0.000587,0.381877,0.917439,0.260843,3968,4480,0,0.672310,0.454430,the free energy ref,267,0,0.000000
267,2,fast_forward,1.917396,0.000397,0.347003,0.917141,0.217535,4480,4992,0,0.671320,0.459778,tive reading phase c,268,0,0.000000
268,1,backward,1.646484,0.000444,0.342508,0.916926,0.212515,4992,4864,1,0.670330,0.412095,nfamiliar passages o,269,0,0.000000
269,1,backward,1.413280,0.000264,0.313465,0.916941,0.181195,4864,4736,1,0.669340,0.710911,was extended with a,270,0,0.000000
270,2,fast_forward,1.803983,0.000303,0.341209,0.917297,0.201111,4736,5248,0,0.668350,0.316629,ervation vector usin,271,0,0.000000
271,0,forward,1.498100,0.000506,0.372450,0.917735,0.248801,5248,5376,0,0.667360,0.420520,ation of the text lo,272,0,0.000000
272,3,fast_backward,1.256841,0.000443,0.342390,0.917123,0.212515,5376,4864,1,0.666370,0.483718,nfamiliar passages o,273,0,0.000000
273,1,backward,1.562802,0.000264,0.313439,0.917192,0.181195,4864,4736,1,0.665380,0.613889,was extended with a,274,0,0.000000
274,1,backward,1.902645,0.000419,0.356064,0.917480,0.231827,4736,4608,1,0.664390,0.415884,"ics of the text, fre",275,0,0.000000
275,1,backward,1.321007,0.000580,0.382616,0.917129,0.260843,4608,4480,1,0.663400,0.699752,the free energy ref,276,0,0.000000
276,4,stay,1.760238,0.000560,0.384764,0.917180,0.260843,4480,4480,0,0.662410,0.345736,the free energy ref,277,0,0.000000
277,2,fast_forward,1.048419,0.000389,0.350552,0.917338,0.217535,4480,4992,0,0.661420,0.600755,tive reading phase c,278,0,0.000000
278,3,fast_backward,1.339443,0.000546,0.386280,0.917372,0.260843,4992,4480,1,0.660430,0.644484,the free energy ref,279,0,0.000000
279,0,forward,1.698713,0.000393,0.363139,0.917898,0.231827,4480,4608,0,0.659440,0.620851,"ics of the text, fre",280,0,0.000000
280,2,fast_forward,1.350794,0.000324,0.313589,0.916765,0.183160,4608,5120,0,0.658450,0.478412,fixed-length charac,281,0,0.000000
281,4,stay,1.409929,0.000315,0.311837,0.917407,0.183160,5120,5120,0,0.657460,0.429396,fixed-length charac,282,0,0.000000
282,0,forward,1.505632,0.000291,0.345715,0.917805,0.201111,5120,5248,0,0.656470,0.405440,ervation vector usin,283,0,0.000000
283,3,fast_backward,1.594924,0.000268,0.316398,0.917219,0.181195,5248,4736,1,0.655480,0.644526,was extended with a,284,0,0.000000
284,0,forward,1.657599,0.000446,0.343563,0.917079,0.212515,4736,4864,0,0.654490,0.405402,nfamiliar passages o,285,0,0.000000
285,4,stay,1.636462,0.000443,0.342754,0.917116,0.212515,4864,4864,0,0.653500,0.310666,nfamiliar passages o,286,0,0.000000
286,0,forward,1.508481,0.000395,0.346338,0.917190,0.217535,4864,4992,0,0.652510,0.600095,tive reading phase c,287,0,0.000000
287,4,stay,1.535076,0.000391,0.346445,0.917225,0.217535,4992,4992,0,0.651520,0.501042,tive reading phase c,288,0,0.000000
288,3,fast_backward,1.470375,0.000577,0.382476,0.917347,0.260843,4992,4480,1,0.650530,0.465010,the free energy ref,289,0,0.000000
289,3,fast_backward,1.853108,0.000282,0.336663,0.917416,0.197040,4480,3968,1,0.649540,0.507376,tests whether a fre,290,0,0.000000
290,0,forward,1.637043,0.000298,0.326656,0.916764,0.194548,3968,4096,0,0.648550,0.425200,s no pretrained embe,291,0,0.000000
291,4,stay,1.227701,0.000295,0.325612,0.916981,0.194548,4096,4096,0,0.647560,0.425284,s no pretrained embe,292,0,0.000000
292,4,stay,1.476632,0.000292,0.324687,0.916827,0.194548,4096,4096,0,0.646570,0.403387,s no pretrained embe,293,0,0.000000
293,3,fast_backward,1.254617,0.000365,0.298655,0.916990,0.169433,4096,3584,1,0.645580,0.295656,text. If it remains,294,0,0.000000
294,0,forward,1.332405,0.000345,0.309332,0.917160,0.185869,3584,3712,0,0.644590,0.650933,al diagnostic signal,295,0,0.000000
295,1,backward,1.886405,0.000344,0.294341,0.917312,0.169433,3712,3584,1,0.643600,0.554491,text. If it remains,296,0,0.000000
296,2,fast_forward,1.670368,0.000292,0.318073,0.916988,0.194548,3584,4096,0,0.642610,0.503019,s no pretrained embe,297,0,0.000000
297,2,fast_forward,1.490975,0.000453,0.350977,0.917761,0.231827,4096,4608,0,0.641620,0.562048,"ics of the text, fre",298,0,0.000000
298,0,forward,1.397207,0.000248,0.307334,0.916970,0.181195,4608,4736,0,0.640630,0.516733,was extended with a,299,0,0.000000
299,1,backward,1.491704,0.000447,0.351890,0.917502,0.231827,4736,4608,1,0.639640,0.451087,"ics of the text, fre",300,1,-0.000073
300,4,stay,1.204861,0.000411,0.356949,0.917948,0.231827,4608,4608,0,0.606970,0.883934,"ics of the text, fre",301,0,0.000000
301,1,backward,1.670959,0.000571,0.383585,0.917362,0.260843,4608,4480,1,0.605980,0.614226,the free energy ref,302,0,0.000000
302,1,backward,1.914813,0.000335,0.345658,0.918005,0.212722,4480,4352,1,0.604990,0.604300,o minimise free ener,303,0,0.000000
303,0,forward,1.718383,0.000553,0.385489,0.917235,0.260843,4352,4480,0,0.604000,0.601311,the free energy ref,304,0,0.000000
304,1,backward,1.992683,0.000331,0.347758,0.917504,0.212722,4480,4352,1,0.603010,0.963406,o minimise free ener,305,0,0.000000
305,0,forward,1.750043,0.000538,0.387142,0.917508,0.260843,4352,4480,0,0.602020,0.680401,the free energy ref,306,0,0.000000
306,2,fast_forward,1.601979,0.000391,0.353156,0.917154,0.217535,4480,4992,0,0.601030,0.593573,tive reading phase c,307,0,0.000000
307,3,fast_backward,1.812509,0.000528,0.388321,0.917199,0.260843,4992,4480,1,0.600040,0.619965,the free energy ref,308,0,0.000000
308,0,forward,1.224172,0.000384,0.365112,0.917492,0.231827,4480,4608,0,0.599050,0.567658,"ics of the text, fre",309,0,0.000000
309,2,fast_forward,1.330289,0.000334,0.315619,0.916794,0.183160,4608,5120,0,0.598060,0.403896,fixed-length charac,310,0,0.000000
310,4,stay,1.497115,0.000323,0.313694,0.916874,0.183160,5120,5120,0,0.597070,0.557388,fixed-length charac,311,0,0.000000
311,4,stay,1.696959,0.000313,0.311996,0.916862,0.183160,5120,5120,0,0.596080,0.571729,fixed-length charac,312,0,0.000000
312,4,stay,1.407324,0.000305,0.310500,0.916676,0.183160,5120,5120,0,0.595090,0.530569,fixed-length charac,313,0,0.000000
313,1,backward,1.560243,0.000396,0.348513,0.917174,0.217535,5120,4992,1,0.594100,0.970724,tive reading phase c,314,0,0.000000
314,4,stay,1.588032,0.000392,0.348512,0.917161,0.217535,4992,4992,0,0.593110,0.535320,tive reading phase c,315,0,0.000000
315,4,stay,1.869669,0.000388,0.348519,0.917099,0.217535,4992,4992,0,0.592120,0.635219,tive reading phase c,316,0,0.000000
316,3,fast_backward,1.086718,0.000568,0.384235,0.917213,0.260843,4992,4480,1,0.591130,0.693384,the free energy ref,317,0,0.000000
317,0,forward,1.659936,0.000400,0.361592,0.917173,0.231827,4480,4608,0,0.590140,0.582274,"ics of the text, fre",318,0,0.000000
318,4,stay,1.686710,0.000395,0.362432,0.917246,0.231827,4608,4608,0,0.589150,0.698828,"ics of the text, fre",319,0,0.000000
319,0,forward,1.007340,0.000266,0.319769,0.917129,0.181195,4608,4736,0,0.588160,0.618848,was extended with a,320,0,0.000000
320,0,forward,1.467107,0.000442,0.346458,0.917012,0.212515,4736,4864,0,0.587170,0.947389,nfamiliar passages o,321,0,0.000000
321,4,stay,1.323167,0.000439,0.345471,0.917147,0.212515,4864,4864,0,0.586180,0.675540,nfamiliar passages o,322,0,0.000000
322,2,fast_forward,1.558393,0.000487,0.375495,0.917852,0.248801,4864,5376,0,0.585190,0.637007,ation of the text lo,323,0,0.000000
323,4,stay,1.393199,0.000477,0.377236,0.917308,0.248801,5376,5376,0,0.584200,0.659580,ation of the text lo,324,0,0.000000
324,3,fast_backward,1.616973,0.000435,0.348026,0.917216,0.212515,5376,4864,1,0.583210,0.787446,nfamiliar passages o,325,0,0.000000
325,1,backward,1.604813,0.000268,0.318781,0.917090,0.181195,4864,4736,1,0.582220,0.553803,was extended with a,326,0,0.000000
326,4,stay,1.241388,0.000261,0.316925,0.917119,0.181195,4736,4736,0,0.581230,0.650572,was extended with a,327,0,0.000000
327,2,fast_forward,1.845838,0.000296,0.344423,0.917651,0.201111,4736,5248,0,0.580240,0.698248,ervation vector usin,328,0,0.000000
328,4,stay,1.536405,0.000292,0.344305,0.917455,0.201111,5248,5248,0,0.579250,0.930616,ervation vector usin,329,0,0.000000
329,1,backward,1.656090,0.000305,0.309325,0.917311,0.183160,5248,5120,1,0.578260,0.477623,fixed-length charac,330,0,0.000000
330,2,fast_forward,1.568997,0.000346,0.306653,0.916688,0.179660,5120,5632,0,0.577270,0.362625,ditional diagnostic,331,0,0.000000
331,3,fast_backward,1.237227,0.000294,0.305993,0.917095,0.183160,5632,5120,1,0.576280,0.633184,fixed-length charac,332,0,0.000000
332,4,stay,1.554409,0.000289,0.305080,0.916898,0.183160,5120,5120,0,0.575290,0.410110,fixed-length charac,333,0,0.000000
333,1,backward,1.206621,0.000406,0.342778,0.917167,0.217535,5120,4992,1,0.574300,0.802267,tive reading phase c,334,0,0.000000
334,2,fast_forward,1.693240,0.000296,0.303628,0.916942,0.177647,4992,5504,0,0.573310,0.547000,of the text. If it r,335,0,0.000000
335,0,forward,1.621056,0.000330,0.302436,0.916636,0.179660,5504,5632,0,0.572320,0.755969,ditional diagnostic,336,0,0.000000
336,1,backward,1.884460,0.000288,0.300466,0.917183,0.177647,5632,5504,1,0.571330,0.438657,of the text. If it r,337,0,0.000000
337,1,backward,1.993181,0.000562,0.367226,0.917239,0.248801,5504,5376,1,0.570340,0.732412,ation of the text lo,338,0,0.000000
338,4,stay,1.802144,0.000543,0.369483,0.917168,0.248801,5376,5376,0,0.569350,0.648373,ation of the text lo,339,0,0.000000
339,1,backward,1.637764,0.000300,0.341045,0.917365,0.201111,5376,5248,1,0.568360,0.562768,ervation vector usin,340,0,0.000000
340,0,forward,1.492822,0.000525,0.371802,0.917650,0.248801,5248,5376,0,0.567370,0.714569,ation of the text lo,341,0,0.000000
341,1,backward,1.658074,0.000292,0.343247,0.917603,0.201111,5376,5248,1,0.566380,0.624305,ervation vector usin,342,0,0.000000
342,0,forward,1.470163,0.000511,0.373798,0.917626,0.248801,5248,5376,0,0.565390,0.576658,ation of the text lo,343,0,0.000000
343,3,fast_backward,1.607945,0.000445,0.344570,0.917153,0.212515,5376,4864,1,0.564400,0.579837,nfamiliar passages o,344,0,0.000000
344,4,stay,1.608026,0.000442,0.343713,0.917255,0.212515,4864,4864,0,0.563410,0.725808,nfamiliar passages o,345,0,0.000000
345,0,forward,1.746644,0.000394,0.347033,0.917299,0.217535,4864,4992,0,0.562420,0.702282,tive reading phase c,346,0,0.000000
346,0,forward,1.381996,0.000297,0.308788,0.916756,0.183160,4992,5120,0,0.561430,0.470694,fixed-length charac,347,0,0.000000
347,0,forward,1.670900,0.000289,0.342543,0.917532,0.201111,5120,5248,0,0.560440,0.649771,ervation vector usin,348,0,0.000000
348,4,stay,1.801589,0.000286,0.342618,0.917700,0.201111,5248,5248,0,0.559450,0.706768,ervation vector usin,349,0,0.000000
349,0,forward,1.294183,0.000514,0.373109,0.917285,0.248801,5248,5376,0,0.558460,0.713626,ation of the text lo,350,0,0.000000
350,1,backward,1.707752,0.000281,0.344583,0.917440,0.201111,5376,5248,1,0.557470,0.546647,ervation vector usin,351,0,0.000000
351,0,forward,1.544207,0.000502,0.374879,0.917316,0.248801,5248,5376,0,0.556480,0.566386,ation of the text lo,352,0,0.000000
352,2,fast_forward,1.511305,0.000265,0.338490,0.917583,0.191817,5376,5888,0,0.555490,0.463558,roject tests whether,353,0,0.000000
353,0,forward,1.516313,0.000331,0.327535,0.916897,0.199703,5888,6016,0,0.554500,0.510568,del has no pretraine,354,0,0.000000
354,3,fast_backward,1.615474,0.000314,0.308717,0.917058,0.177647,6016,5504,1,0.553510,0.544595,of the text. If it r,355,0,0.000000
355,0,forward,1.802284,0.000340,0.306460,0.916554,0.179660,5504,5632,0,0.552520,0.520184,ditional diagnostic,356,0,0.000000
356,4,stay,1.613820,0.000331,0.304378,0.916667,0.179660,5632,5632,0,0.551530,0.850844,ditional diagnostic,357,0,0.000000
357,0,forward,1.657640,0.000302,0.329136,0.917554,0.189174,5632,5760,0,0.550540,0.838998,prediction error. Co,358,0,0.000000
358,4,stay,1.941678,0.000298,0.328221,0.917628,0.189174,5760,5760,0,0.549550,0.567646,prediction error. Co,359,0,0.000000
359,2,fast_forward,1.442383,0.000373,0.335752,0.917276,0.213189,5760,6272,0,0.548560,0.546234,s it to minimise fre,360,0,0.000000
360,1,backward,1.627025,0.000258,0.326612,0.916987,0.197463,6272,6144,1,0.547570,0.447750,put from scratch. Ac,361,0,0.000000
361,1,backward,1.863937,0.000327,0.319936,0.916611,0.199703,6144,6016,1,0.546580,0.325290,del has no pretraine,362,0,0.000000
362,0,forward,1.428049,0.000255,0.326205,0.916997,0.197463,6016,6144,0,0.545590,0.467840,put from scratch. Ac,363,0,0.000000
363,1,backward,1.589135,0.000323,0.319568,0.916583,0.199703,6144,6016,1,0.544600,0.310886,del has no pretraine,364,0,0.000000
364,4,stay,1.744526,0.000321,0.319379,0.916551,0.199703,6016,6016,0,0.543610,0.301079,del has no pretraine,365,0,0.000000
365,2,fast_forward,1.556087,0.000433,0.353579,0.917561,0.229475,6016,6528,0,0.542620,0.425286,tatistics of the tex,366,0,0.000000
366,4,stay,1.595400,0.000424,0.354778,0.917419,0.229475,6528,6528,0,0.541630,0.276951,tatistics of the tex,367,0,0.000000
367,2,fast_forward,1.324186,0.000338,0.310957,0.916679,0.192507,6528,7040,0,0.540640,0.250017,reads fixed-length,368,0,0.000000
368,0,forward,1.559271,0.000279,0.333507,0.917791,0.194987,7040,7168,0,0.539650,0.399354,im observation vecto,369,0,0.000000
369,0,forward,1.917655,0.000561,0.375316,0.917476,0.253256,7168,7296,0,0.538660,0.449912,Evaluation of the t,370,0,0.000000
370,2,fast_forward,1.516289,0.000265,0.332885,0.917612,0.191912,7296,7808,0,0.537670,0.405619,odel project tests w,371,0,0.000000
371,0,forward,1.457558,0.000289,0.319969,0.917269,0.187979,7808,7936,0,0.536680,0.594058,The model has no pre,372,0,0.000000
372,3,fast_backward,1.960386,0.000270,0.302185,0.917222,0.172094,7936,7424,1,0.535690,0.382294,stics of the text. I,373,0,0.000000
373,2,fast_forward,1.535522,0.000287,0.317334,0.917508,0.187979,7424,7936,0,0.534700,0.386223,The model has no pre,374,0,0.000000
374,3,fast_backward,1.579802,0.000264,0.299630,0.917143,0.172094,7936,7424,1,0.533710,0.289471,stics of the text. I,375,0,0.000000
375,0,forward,1.558966,0.000323,0.299982,0.916647,0.179100,7424,7552,0,0.532720,0.494252,ide additional diagn,376,0,0.000000
376,1,backward,1.520358,0.000258,0.296616,0.916968,0.172094,7552,7424,1,0.531730,0.429768,stics of the text. I,377,0,0.000000
377,1,backward,1.421233,0.000604,0.370500,0.917394,0.253256,7424,7296,1,0.530740,0.527117,Evaluation of the t,378,0,0.000000
378,1,backward,1.544433,0.000287,0.331198,0.917451,0.194987,7296,7168,1,0.529750,0.524690,im observation vecto,379,0,0.000000
379,4,stay,1.608026,0.000283,0.331391,0.917644,0.194987,7168,7168,0,0.528760,0.447336,im observation vecto,380,0,0.000000
380,4,stay,1.870762,0.000279,0.331575,0.917418,0.194987,7168,7168,0,0.527770,0.366369,im observation vecto,381,0,0.000000
381,2,fast_forward,1.268233,0.000295,0.325097,0.917781,0.187934,7168,7680,0,0.526780,0.601224,unded prediction err,382,0,0.000000
382,2,fast_forward,1.564813,0.000411,0.324918,0.916510,0.208369,7680,192,1,0.525790,0.646738,ts from raw pixel or,383,0,0.000000
383,2,fast_forward,1.552722,0.000716,0.380153,0.917430,0.268694,192,704,0,0.524800,0.382854,en the belief state.,384,0,0.000000
384,4,stay,1.642849,0.000686,0.382651,0.917003,0.268694,704,704,0,0.523810,0.627471,en the belief state.,385,0,0.000000
385,3,fast_backward,1.751144,0.000402,0.329948,0.916993,0.208369,704,192,1,0.522820,0.678105,ts from raw pixel or,386,0,0.000000
386,4,stay,1.485640,0.000397,0.329833,0.916873,0.208369,192,192,0,0.521830,0.679837,ts from raw pixel or,387,0,0.000000
387,1,backward,1.836122,0.000305,0.328971,0.917877,0.189204,192,64,1,0.520840,0.623820,a self-organising s,388,0,0.000000
388,1,backward,1.745154,0.000331,0.342382,0.917966,0.205664,64,0,1,0.519850,0.626829,Cognitive emergence,389,0,0.000000
389,0,forward,1.480557,0.000300,0.326694,0.917408,0.186413,0,128,0,0.518860,0.623313,er a free-energy-min,390,0,0.000000
390,4,stay,1.470588,0.000298,0.325779,0.917413,0.186413,128,128,0,0.517870,0.744250,er a free-energy-min,391,0,0.000000
391,0,forward,1.385843,0.000281,0.320436,0.916760,0.195890,128,256,0,0.516880,0.645013,"ned embeddings, no t",392,0,0.000000
392,2,fast_forward,1.388818,0.000473,0.356395,0.917523,0.236386,256,768,0,0.515890,0.603853,"ext, free energy sho",393,0,0.000000
393,2,fast_forward,2.035309,0.000264,0.308429,0.917320,0.179216,768,1280,0,0.514900,0.517441,h character blocks i,394,0,0.000000
394,4,stay,1.920688,0.000260,0.307531,0.917082,0.179216,1280,1280,0,0.513910,0.853753,h character blocks i,395,0,0.000000
395,1,backward,1.753770,0.000441,0.343494,0.917263,0.222530,1280,1152,1,0.512920,0.731859,phase comes next. T,396,0,0.000000
396,4,stay,1.636212,0.000436,0.344181,0.917059,0.222530,1152,1152,0,0.511930,0.807141,phase comes next. T,397,0,0.000000
397,3,fast_backward,1.339442,0.000536,0.370652,0.917463,0.248914,1152,640,1,0.510940,0.641503,ergy reflects how pr,398,0,0.000000
398,3,fast_backward,1.534465,0.000299,0.328350,0.917734,0.186413,640,128,1,0.509950,0.774163,er a free-energy-min,399,0,0.000000
399,0,forward,1.435355,0.000279,0.322307,0.916727,0.195890,128,256,0,0.508960,0.541396,"ned embeddings, no t",400,1,0.000071
400,3,fast_backward,1.907958,0.000355,0.338226,0.917541,0.205664,256,0,1,0.476290,0.747223,Cognitive emergence,401,0,0.000000
401,3,fast_backward,1.671167,0.000348,0.338356,0.917628,0.205664,0,0,0,0.475300,0.645589,Cognitive emergence,402,0,0.000000
402,1,backward,1.415065,0.000341,0.338473,0.917388,0.205664,0,0,0,0.474310,0.613722,Cognitive emergence,403,0,0.000000
403,0,forward,1.605002,0.000300,0.323291,0.917412,0.186413,0,128,0,0.473320,0.635348,er a free-energy-min,404,0,0.000000
