step,modality,h_phys_norm,h_text_norm,h_fused_norm,pred_error,W_pt_norm,W_tp_norm,belief_norm,free_energy
257,text,0.784784,0.252998,0.455184,0.014056,7.613527,15.000000,0.171073,0.002831
258,physics,0.794713,0.277935,0.487955,0.010301,7.616064,15.000000,0.171124,0.003101
259,text,0.935337,0.263089,0.481302,0.014773,7.614423,15.000000,0.166699,0.003203
260,physics,0.888577,0.277935,0.498218,0.013423,7.614671,15.000000,0.169867,0.003145
261,text,0.780118,0.277579,0.472437,0.015625,7.614747,15.000000,0.165451,0.003176
262,physics,0.788256,0.288705,0.507808,0.010422,7.617142,15.000000,0.166795,0.003447
263,physics,0.844787,0.288705,0.563665,0.007768,7.617049,15.000000,0.176196,0.003819
264,physics,0.851373,0.263089,0.490141,0.011015,7.615598,15.000000,0.172326,0.003286
265,physics,0.698306,0.252998,0.395418,0.006899,7.614551,15.000000,0.168172,0.002128
266,physics,0.684141,0.263089,0.413865,0.010024,7.620768,15.000000,0.164653,0.002340
267,text,0.859673,0.277579,0.557460,0.020072,7.620334,15.000000,0.169681,0.004127
268,physics,0.791892,0.263089,0.534913,0.009814,7.622700,15.000000,0.179700,0.003384
269,text,0.818500,0.263089,0.499963,0.012161,7.624759,15.000000,0.183593,0.003071
270,physics,0.952751,0.277579,0.556819,0.014338,7.625929,15.000000,0.173452,0.004662
271,text,0.891948,0.246406,0.479438,0.021882,7.626708,15.000000,0.170825,0.003164
272,text,0.794086,0.277935,0.488526,0.014850,7.630136,15.000000,0.169513,0.003297
273,text,0.790571,0.277579,0.491087,0.017621,7.632908,15.000000,0.172229,0.003154
274,physics,0.635722,0.277579,0.395195,0.008717,7.632292,15.000000,0.165189,0.002335
275,text,0.904308,0.277579,0.562347,0.020842,7.632030,15.000000,0.168617,0.004210
276,physics,0.945573,0.277579,0.641407,0.015156,7.638281,15.000000,0.176535,0.005317
277,physics,0.801329,0.277935,0.509400,0.009415,7.635982,15.000000,0.173382,0.003651
278,physics,0.826503,0.277935,0.552053,0.010286,7.637230,15.000000,0.178030,0.003836
279,text,0.815066,0.263089,0.476293,0.011463,7.638607,15.000000,0.178249,0.002917
280,physics,0.735344,0.263089,0.477639,0.009966,7.639043,15.000000,0.178569,0.002914
281,physics,0.836889,0.259508,0.537973,0.010553,7.640311,15.000000,0.184228,0.003617
282,text,0.848926,0.288705,0.501782,0.013800,7.642745,15.000000,0.179827,0.003481
283,text,0.820556,0.263089,0.491410,0.014720,7.644918,15.000000,0.173498,0.003550
284,text,0.693825,0.252998,0.458912,0.013705,7.647441,15.000000,0.172723,0.002782
285,physics,0.907576,0.252998,0.613204,0.012143,7.651502,15.000000,0.185969,0.004449
286,text,0.707019,0.277579,0.419005,0.010982,7.651304,15.000000,0.176984,0.002630
287,text,0.851956,0.263089,0.447903,0.013370,7.653425,15.000000,0.171076,0.002918
288,text,0.794713,0.277935,0.501735,0.017366,7.656915,15.000000,0.174367,0.003149
289,physics,0.771720,0.252998,0.482281,0.007418,7.659866,15.000000,0.179003,0.002811
290,physics,0.805206,0.252998,0.482907,0.010967,7.661912,15.000000,0.177603,0.003111
291,text,0.811545,0.277579,0.529959,0.018727,7.660914,15.000000,0.181847,0.003561
292,text,0.830265,0.277579,0.502047,0.015400,7.660063,15.000000,0.174816,0.003668
293,text,0.767795,0.252998,0.511812,0.014854,7.658663,15.000000,0.172886,0.003635
294,text,0.893392,0.259508,0.576692,0.015316,7.661788,15.000000,0.172414,0.004567
295,physics,0.957975,0.288705,0.657797,0.012569,7.660843,15.000000,0.178737,0.005649
296,text,0.763153,0.288705,0.491708,0.011750,7.661357,15.000000,0.191349,0.002462
297,text,0.884197,0.263089,0.587752,0.015851,7.665123,15.000000,0.192087,0.004573
298,physics,0.857951,0.263089,0.546446,0.012793,7.663608,15.000000,0.194605,0.003714
299,text,0.849405,0.252998,0.530067,0.013894,7.665683,15.000000,0.192723,0.003740
300,text,0.766220,0.277935,0.517319,0.015687,7.756713,15.000000,0.196226,0.003251
301,text,0.788770,0.246406,0.496291,0.027708,7.760128,15.000000,0.192498,0.003390
302,physics,0.880057,0.250363,0.537475,0.011124,7.761094,15.000000,0.183945,0.004242
303,physics,0.703282,0.277579,0.458356,0.008066,7.764921,15.000000,0.179574,0.002792
304,physics,0.784784,0.252998,0.485756,0.008838,7.767450,15.000000,0.174844,0.003338
305,text,0.746729,0.277579,0.515199,0.025922,7.768136,15.000000,0.175280,0.003596
306,text,0.799703,0.250363,0.473043,0.037254,7.767499,15.000000,0.172332,0.003113
307,physics,0.839582,0.277579,0.537974,0.010324,7.772660,15.000000,0.169763,0.004029
308,physics,0.872095,0.263089,0.547951,0.008873,7.773406,15.000000,0.173689,0.003936
309,text,0.834175,0.277579,0.536144,0.030194,7.779425,15.000000,0.180385,0.003576
